,firing_rate,snr,isi_violations_ratio,isi_violations_count
556,4.986657771847899,307.15110134021717,0.1490413356052443,2
557,5.90393595730487,307.4105270638406,4.3593972216015695,82
559,0.8505670446964644,307.66993266290245,20.491264043743858,8
560,5.514787636201913,307.15110134021717,0.7311719562955254,12
561,2.6962419390704917,307.66993266290245,4.5882878095440525,18
562,1.5843895930620413,307.66993266290245,0.7381963681132656,1
563,5.203468979319546,307.66993266290245,1.2319197896120972,18
564,1.156326439848788,307.66993266290245,0.0,0
565,2.9630865021125197,307.66993266290245,8.020303496439496,38
566,1.4565265732710697,307.15110134021717,0.0,0
568,1.8790304647542806,307.66993266290245,1.5745247015160535,3
569,2.6239715365799423,307.66993266290245,4.037094225797185,15
571,4.514120524794308,307.66993266290245,5.820087844888252,64
572,0.23904825439181676,307.15110134021717,64.85667928610059,2
573,4.936624416277518,307.66993266290245,5.0946047398750105,67
574,2.4349566377585057,307.15110134021717,0.31254560997477115,1
577,2.6462085835001115,307.15110134021717,2.910987924581597,11
578,3.040916166333111,307.66993266290245,2.4047404991160026,12
579,1.128530131198577,307.66993266290245,8.730131767332379,6
580,1.973537914164999,307.15110134021717,0.47577861535409643,1
582,0.6115187903046475,307.66993266290245,0.0,0
585,1.328663553480098,307.66993266290245,12.5964181299347,12
586,2.6072937513898156,307.15110134021717,1.3629688899395802,5
587,2.5572603958194353,307.15110134021717,2.550283553875236,9
588,4.730931732265955,307.66993266290245,0.24838408121502176,3
589,2.5294640871692238,307.66993266290245,4.923656563217003,17
591,3.491216366466533,307.15110134021717,2.7366221753417985,18
593,0.5948410051145208,307.66993266290245,15.711415844178532,3
594,1.8234378474538582,307.66993266290245,2.786659726353361,5
595,0.20569268401156326,308.1887639855877,0.0,0
596,2.6906826773404493,307.66993266290245,1.5357557543883615,6
597,3.50789415165666,307.66993266290245,4.367178101320823,29
599,1.2063597954191683,307.15110134021717,1.2733334749092144,1
601,5.709361796753392,307.66993266290245,4.206805729244194,74
603,1.200800533689126,307.66993266290245,2.570301783264746,2
605,0.7393818100956193,307.66993266290245,3.389677200520097,1
606,0.66711140760507,307.66993266290245,8.327777777777778,2
607,0.0555926173004225,308.1887639855877,0.0,0
609,1.0451412052479432,307.15110134021717,5.089406971480307,3
610,2.351567711807872,307.15110134021717,1.0053149573294435,3
612,2.535023348899266,307.66993266290245,4.037011388119422,14
613,1.4342895263509006,307.66993266290245,12.611020972297336,14
614,2.6072937513898156,307.66993266290245,0.0,0
615,4.425172337113631,307.66993266290245,4.069152294133987,43
616,4.553035356904603,307.66993266290245,2.592339149115706,29
617,0.43362241494329556,307.15110134021717,9.855358316896778,1
619,5.68156548810318,307.66993266290245,3.15734850892881,55
620,2.9686457638425616,307.15110134021717,0.8410834771142813,4
621,0.8283299977762953,307.66993266290245,8.10233773253457,3
623,2.3182121414276184,307.66993266290245,1.034453013129065,3
625,0.8394485212363798,307.66993266290245,2.6297092232796806,1
626,2.484989993328886,307.15110134021717,3.3009524095511216,11
627,0.22237046920169,307.15110134021717,0.0,0
628,2.2348232154769847,307.66993266290245,4.452365040469296,12
629,0.6170780520346898,307.66993266290245,0.0,0
631,0.9951078496775628,307.66993266290245,22.456227957928903,12
632,2.9797642873026464,307.15110134021717,3.339273780351971,16
633,0.46697798532354906,307.66993266290245,8.497732426303855,1
635,0.333555703802535,307.66993266290245,0.0,0
637,5.06448743606849,307.15110134021717,3.684639863312291,51
639,2.0513675783855905,307.15110134021717,11.009026079420686,25
640,2.640649321770069,307.15110134021717,0.0,0
643,2.284856571047365,307.15110134021717,4.25950592288703,12
645,0.5058928174338448,307.66993266290245,7.240671416495592,1
648,11.112964198354458,307.15110134021717,0.48016003999999,32
649,0.44474093840338,307.66993266290245,0.0,0
651,0.956193017567267,307.66993266290245,0.0,0
656,1.3119857682899712,307.15110134021717,0.0,0
657,3.5134534133867024,307.15110134021717,1.8013940073706136,12
658,4.058261062930843,307.66993266290245,0.11251641959091763,1
661,3.3522348232154773,307.66993266290245,1.4841216801564319,9
663,1.8289971091839003,307.66993266290245,3.323694348721834,6
664,0.42250389148321105,307.66993266290245,0.0,0
665,0.35579275072270405,307.4105270638406,0.0,0
667,0.7393818100956193,307.66993266290245,0.0,0
668,2.0958416722259283,307.15110134021717,0.42187027278036154,1
671,4.202801867911941,307.15110134021717,3.5669494135102595,34
672,3.624638647987547,307.66993266290245,0.2820956754111935,2
673,2.0124527462752946,307.15110134021717,5.490674887823936,12
675,1.0340226817878586,307.66993266290245,0.0,0
677,1.8012008005336893,307.66993266290245,2.2847126962353297,4
680,2.8519012675116744,307.15110134021717,1.3670303113208624,6
681,1.3786969090504781,307.66993266290245,5.849375650364204,6
683,2.612853013119858,307.15110134021717,2.714350384789497,10
684,1.156326439848788,307.15110134021717,0.0,0
